code	name	address
102 T	102 Tower	102 South 200 East, Salt Lake City, UT 84111
250 TOWER	250 Tower	250 East 200 South, Salt Lake City, UT 84111
295 CH	295 Chipeta Way	295 Chipeta Way, Salt Lake City, UT 84108
360 WA	360 Wakara Way	360 Wakara Way, Salt Lake City, UT 84108
375 CH	375 Chipeta Way	375 Chipeta Way, Salt Lake City, UT 84108
383 CO	383 Colorow Drive	383 Colorow Dr, Salt Lake City, UT 84108
390 WA	390 Wakara Way	390 Wakara Way, Salt Lake City, UT 84108
391 CH	391 Chipeta Way	391 Chipeta Way, Salt Lake City, UT 84108
400 WA	400 Wakara Way	400 Wakara Way, Salt Lake City, UT 84108
410 CH	410 Chipeta Way	410 Chipeta Way, Salt Lake City, UT 84108
417 WA	417 Wakara Way	417 Wakara Way, Salt Lake City, UT 84108
419 WA	419 Wakara Way	419 Wakara Way, Salt Lake City, UT 84108
420 CH	420 Chipeta Way	420 Chipeta Way, Salt Lake City, UT 84108
420 WA	420 Wakara	420 Wakara Way, Salt Lake City, UT 84108
421 WA	421 Wakara Way	421 Wakara Way, Salt Lake City, UT 84108
423 WA	423 Wakara Way	423 Wakara Way, Salt Lake City, UT 84108
44	Office Building 44	290 S 1500 E, Salt Lake City, UT 84112
480 WA	480 Wakara Way (U Park Hotel)	480 Wakara Way, Salt Lake City, UT 84108
497 CO	497 Colorow Drive (PCRTC)	497 Colorow Dr, Salt Lake City, UT 84108
500 CH	500 Chipeta Way (ARUP)	500 Chipeta Way, Salt Lake City, UT 84108
500 HUU	500 Huntsman Way (Huntsman Corp)	500 Huntsman Way, Salt Lake City, UT 84108
505 WA	505 Wakara Way	505 Wakara Way, Salt Lake City, UT 84108
515 COLOROW	BioFire Diagnostics Building	515 Colorow Way, Salt Lake City, UT 84108
560 AR	560 Arapeen Dr	560 Arapeen Dr, Salt Lake City, UT 84108
575 CH	575 Chipeta Way (Watson Labs)	575 Chipeta Way, Salt Lake City, UT 84108
577 CH	577 Chipeta Way (Watson Labs)	577 Chipeta Way, Salt Lake City, UT 84108
585 KO	585 Komas (Consolidated Data Ctr)	585 Komas, Salt Lake City, UT 84108
600 KO	600 Komas	600 Komas, Salt Lake City, UT 84108
606 BH	606 Blackhawk	606 Blackhawk Way, Salt Lake City, UT 84108-1203
610 BH	606A Blackhawk	610 Blackhawk Way, Salt Lake City, UT 84108-1203
615 AR	615 Arapeen (Paradigm 1)	615 Arapeen Dr., Salt Lake City, UT 84108
650 KO	650 Komas	650 Komas, Salt Lake City, UT 84108
675 AR	675 Arapeen Drive (Paradigm II)	675 Arapeen Dr, Salt Lake City, UT 84108
729 AR	729 Arapeen Drive (INC)	729 Arapeen Dr, Salt Lake City, UT 84108
770 KO	770 Komas (Evans & Sutherland)	770 Komas, Salt Lake City, UT 84108
ACC	Acute Care Complex (Area E)	37 North 2000 East, Salt Lake City, UT 84112
ACC5	Reserved for accounting purposes	
ACCEL	Accelerator Building (now part of Bldg 83)	131 S 1400 E, Salt Lake City, UT 84112
ACCG	Ambulatory Care Center Garage	60 N Wasatch Dr - 20 N Wasatch Dr, Salt Lake City, UT 84112
ACCT	Reserved for Acct. Purposes	Salt Lake City, UT 84112
ADP SG	ADP Storage (demolished '96)	Salt Lake City, UT 84112
AEB	Alfred C. Emery Building	225 S 1400 E, Salt Lake City, UT 84112
AFB	America First Ballpark	725 South Guardsman Way, Salt Lake City, UT 84108
AIRMED DAVIS	AirMed Helipad at the Davis Hospital & Medical Center	1600 West Antelope Drive, Layton, UT 84041
AIRMED NEPHI	AirMed Helipad at the Central Valley Hospital	48 West 1500 North, Nephi, UT 84648
AIRMED SWEETWATER	AirMed Helipad at the Memorial Hospital of Sweetwater County	1200 College Drive, Rock Springs, WY 82901
ALUMNI	Cleone Peterson Eccles Alumni House	155 S. Central Campus Dr, Salt Lake City, UT 84112
ANNEX	Annex General Office	1901 E S Campus Dr, Salt Lake City, UT 84112
ARCH	Architecture Building	375 S 1530 E, Salt Lake City, UT 84112
ART	Art Building	375 S 1530 E, Salt Lake City, UT 84112
ARUP	546 Chipeta Way (ARUP)	546 Chipeta Way, Salt Lake City, UT 84108
ASB	Aline Wilmot Skaggs Biology Building	259 S 1400 E, Salt Lake City, UT 84112
ATC	American Towers Condominium	44 West Broadway, Salt Lake City, UT 84101
ATMOS	Atmospheric Sciences - Mountain Meteorology Lab	2185 Red Butte Rd, Salt Lake City, UT 84112
AUSTIN	Myrtle Austin Hall (Demolished 2006)	1775 Austin Rd, Salt Lake City, UT 84112
B - 3658	Salt Lake City Department of Airports	776 North Terminal Drive, Salt Lake City, UT 84122
B 102	Physical Therapy (Demolished 2001)	
B 111	McCarthey Family Track and Field Storage Building	98 S. Wasatch Dr, Salt Lake City, UT 84112
B 115	Trailhead  Housing	315 S. 1850 E., Salt Lake City, UT
B 117	American Campus Communities WEST (TBD)	Salt Lake City, UT
B 118	Soccer Field Ticket Office	Tbd, Salt Lake City, UT 84112
B 127	CoS Storage (TBD)	305 S 1400 E (tbd), Salt Lake City, UT 84112
B 149	North Campus Chiller Plant	101 South Central Campus Drive, Salt Lake City, UT 84112
B 15	Dance (Demolished 1996)	
B 150	Reserved for USTAR building complex	?, Salt Lake City, UT 84112
B 160	The University Ward (TBD)	160 S University St, Salt Lake City, UT
B 182	Meldrum House	200 S 1300 E, Salt Lake City, UT 84102
B 20	Physics/Ceramics (demolished 1994)	
B 2000	Utah System Higher Education	3 Triad Center Ste 550, Salt Lake City, UT 84180-1205
B 2001	Data Chem (now Bldg 3001)	960 W Lavoy Dr, Salt Lake City, UT 84123-2500
